nct_id,location,continent,iso
NCT03158961,Hong Kong,East Asia,HKG
NCT03160482,Canada,North America,CAN
NCT03162627,United States,North America,USA
NCT03167385,China,East Asia,CHN
NCT03174925,United States,North America,USA
NCT03178253,Egypt,Africa,EGY
NCT03182699,Austria,Europe,AUT
NCT03183752,Brazil,South America,BRA
NCT03194087,China,East Asia,CHN
NCT03199677,China,East Asia,CHN
NCT03211117,United States,North America,USA
NCT03226171,Japan,East Asia,JPN
NCT03244956,France,Europe,FRA
NCT03249012,Canada,North America,CAN
NCT03257930,Egypt,Africa,EGY
NCT03268785,China,East Asia,CHN
NCT03271892,Canada,North America,CAN
NCT03274258,United States,North America,USA
NCT03278964,Brazil,South America,BRA
NCT03280264,Japan,East Asia,JPN
NCT03283098,China,East Asia,CHN
NCT03284060,France,Europe,FRA
NCT03285854,United Kingdom,Europe,GBR
NCT03295955,"Korea, Republic of",East Asia,KOR
NCT03298867,Germany,Europe,DEU
NCT03298867,Italy,Europe,ITA
NCT03298867,United States,North America,USA
NCT03299244,China,East Asia,CHN
NCT03299244,Hong Kong,East Asia,HKG
NCT03299244,India,South Asia,IND
NCT03299244,"Korea, Republic of",East Asia,KOR
NCT03299244,Malaysia,Southeast Asia,MYS
NCT03299244,Taiwan,East Asia,TWN
NCT03300284,United States,North America,USA
NCT03303053,Malaysia,Southeast Asia,MYS
NCT03307694,United States,North America,USA
NCT03309384,France,Europe,FRA
NCT03309631,United States,North America,USA
NCT03324022,Taiwan,East Asia,TWN
NCT03324893,Canada,North America,CAN
NCT03327636,Hong Kong,East Asia,HKG
NCT03331172,Hong Kong,East Asia,HKG
NCT03375359,Germany,Europe,DEU
NCT03382158,United States,North America,USA
NCT03387943,China,East Asia,CHN
NCT03395925,Germany,Europe,DEU
NCT03420963,United States,North America,USA
NCT03425747,Italy,Europe,ITA
NCT03434067,China,East Asia,CHN
NCT03435952,United States,North America,USA
NCT03440697,United States,North America,USA
NCT03447093,China,East Asia,CHN
NCT03461211,Germany,Europe,DEU
NCT03461211,Italy,Europe,ITA
NCT03461211,United States,North America,USA
NCT03464149,Austria,Europe,AUT
NCT03469310,United States,North America,USA
NCT03484416,"Korea, Republic of",East Asia,KOR
NCT03498183,France,Europe,FRA
NCT03498417,Italy,Europe,ITA
NCT03515863,China,East Asia,CHN
NCT03516747,Israel,Middle East,ISR
NCT03517267,Israel,Middle East,ISR
NCT03517579,United States,North America,USA
NCT03530462,China,East Asia,CHN
NCT03535974,Romania,Europe,ROU
NCT03543891,China,East Asia,CHN
NCT03566537,Greece,Europe,GRC
NCT03569787,United Kingdom,Europe,GBR
NCT03574051,China,East Asia,CHN
NCT03588884,United States,North America,USA
NCT03602261,United States,North America,USA
NCT03605472,France,Europe,FRA
NCT03606824,China,East Asia,CHN
NCT03614988,Brazil,South America,BRA
NCT03626246,United States,North America,USA
NCT03626948,Japan,East Asia,JPN
NCT03633708,Argentina,South America,ARG
NCT03633708,India,South Asia,IND
NCT03633708,"Korea, Republic of",East Asia,KOR
NCT03633708,Malaysia,Southeast Asia,MYS
NCT03633708,Russian Federation,North Asia,RUS
NCT03633708,Singapore,Southeast Asia,SGP
NCT03633708,Taiwan,East Asia,TWN
NCT03633708,Turkey,Middle East,TUR
NCT03633708,Ukraine,Europe,UKR
NCT03633708,United States,North America,USA
NCT03641638,China,East Asia,CHN
NCT03643081,France,Europe,FRA
NCT03646383,France,Europe,FRA
NCT03660800,United States,North America,USA
NCT03669432,India,South Asia,IND
NCT03676647,United States,North America,USA
NCT03699098,Egypt,Africa,EGY
NCT03700762,China,East Asia,CHN
NCT03708627,United States,North America,USA
NCT03713671,Turkey,Middle East,TUR
NCT03716128,Denmark,Europe,DNK
NCT03724188,Egypt,Africa,EGY
NCT03732495,France,Europe,FRA
NCT03753919,Spain,Europe,ESP
NCT03761290,United States,North America,USA
NCT03764007,United States,North America,USA
NCT03772496,China,East Asia,CHN
NCT03773120,"Korea, Republic of",East Asia,KOR
NCT03801980,Japan,East Asia,JPN
NCT03808779,China,East Asia,CHN
