index,nct_id,category_age
665,NCT00975221,[65 and more]
669,NCT00977080,[18-65]
669,NCT00977080,[65 and more]
670,NCT00982722,[0-17]
670,NCT00982722,[18-65]
670,NCT00982722,[65 and more]
676,NCT00990704,[18-65]
676,NCT00990704,[65 and more]
681,NCT00995163,[0-17]
681,NCT00995163,[18-65]
681,NCT00995163,[65 and more]
684,NCT00999037,[0-17]
684,NCT00999037,[18-65]
691,NCT01012414,[18-65]
691,NCT01012414,[65 and more]
694,NCT01025128,[18-65]
694,NCT01025128,[65 and more]
701,NCT01039818,[18-65]
701,NCT01039818,[65 and more]
708,NCT01056419,[18-65]
708,NCT01056419,[65 and more]
713,NCT01057732,[18-65]
713,NCT01057732,[65 and more]
716,NCT01060982,[18-65]
716,NCT01060982,[65 and more]
717,NCT01073462,[18-65]
717,NCT01073462,[65 and more]
721,NCT01081665,[18-65]
721,NCT01081665,[65 and more]
725,NCT01083186,[18-65]
725,NCT01083186,[65 and more]
727,NCT01083550,[18-65]
727,NCT01083550,[65 and more]
731,NCT01083849,[18-65]
731,NCT01083849,[65 and more]
733,NCT01084356,[18-65]
733,NCT01084356,[65 and more]
736,NCT01087619,[65 and more]
739,NCT01089335,[18-65]
739,NCT01089335,[65 and more]
744,NCT01100723,[18-65]
744,NCT01100723,[65 and more]
748,NCT01101113,[18-65]
748,NCT01101113,[65 and more]
753,NCT01102127,[18-65]
753,NCT01102127,[65 and more]
758,NCT01103206,[18-65]
758,NCT01103206,[65 and more]
759,NCT01103557,[18-65]
759,NCT01103557,[65 and more]
763,NCT01106443,[18-65]
763,NCT01106443,[65 and more]
766,NCT01109420,[0-17]
766,NCT01109420,[18-65]
766,NCT01109420,[65 and more]
767,NCT01114503,[18-65]
767,NCT01114503,[65 and more]
771,NCT01115543,[18-65]
771,NCT01115543,[65 and more]
774,NCT01118065,[18-65]
774,NCT01118065,[65 and more]
776,NCT01127503,[0-17]
776,NCT01127503,[18-65]
776,NCT01127503,[65 and more]
782,NCT01134315,[0-17]
784,NCT01134549,[18-65]
789,NCT01134562,[18-65]
789,NCT01134562,[65 and more]
790,NCT01137097,[18-65]
790,NCT01137097,[65 and more]
791,NCT01138475,[18-65]
791,NCT01138475,[65 and more]
801,NCT01149291,[18-65]
801,NCT01149291,[65 and more]
804,NCT01153360,[18-65]
804,NCT01153360,[65 and more]
807,NCT01163565,[18-65]
807,NCT01163565,[65 and more]
813,NCT01164176,[18-65]
813,NCT01164176,[65 and more]
814,NCT01167309,[18-65]
814,NCT01167309,[65 and more]
818,NCT01171690,[18-65]
818,NCT01171690,[65 and more]
821,NCT01178450,[18-65]
821,NCT01178450,[65 and more]
825,NCT01181531,[18-65]
825,NCT01181531,[65 and more]
826,NCT01182285,[18-65]
826,NCT01182285,[65 and more]
827,NCT01182584,[0-17]
827,NCT01182584,[18-65]
837,NCT01208051,[18-65]
837,NCT01208051,[65 and more]
840,NCT01219855,[18-65]
840,NCT01219855,[65 and more]
845,NCT01220050,[18-65]
845,NCT01220050,[65 and more]
849,NCT01222026,[18-65]
849,NCT01222026,[65 and more]
853,NCT01224782,[18-65]
853,NCT01224782,[65 and more]
856,NCT01225016,[18-65]
856,NCT01225016,[65 and more]
860,NCT01226914,[18-65]
860,NCT01226914,[65 and more]
865,NCT01227499,[0-17]
865,NCT01227499,[18-65]
865,NCT01227499,[65 and more]
866,NCT01228786,[0-17]
866,NCT01228786,[18-65]
866,NCT01228786,[65 and more]
869,NCT01229865,[18-65]
869,NCT01229865,[65 and more]
876,NCT01254565,[18-65]
876,NCT01254565,[65 and more]
881,NCT01265992,[18-65]
881,NCT01265992,[65 and more]
884,NCT01269749,[0-17]
884,NCT01269749,[18-65]
890,NCT01270425,[18-65]
890,NCT01270425,[65 and more]
893,NCT01272414,[18-65]
893,NCT01272414,[65 and more]
