index,nct_id,location,continent,iso
1694,NCT02523209,France,Europe,FRA
1698,NCT02525796,United States,North America,USA
1701,NCT02535975,"Korea, Republic of",East Asia,KOR
1707,NCT02536287,China,East Asia,CHN
1709,NCT02539498,France,Europe,FRA
1712,NCT02549391,Japan,East Asia,JPN
1715,NCT02549404,Japan,East Asia,JPN
1719,NCT02549417,Japan,East Asia,JPN
1721,NCT02551120,Denmark,Europe,DNK
1725,NCT02556216,Germany,Europe,DEU
1740,NCT02609685,United States,North America,USA
1742,NCT02620085,Taiwan,East Asia,TWN
1757,NCT02652884,Argentina,South America,ARG
1762,NCT02658552,Hong Kong,East Asia,HKG
1764,NCT02665325,China,East Asia,CHN
1765,NCT02681328,United States,North America,USA
1767,NCT02685514,Hong Kong,East Asia,HKG
1773,NCT02693808,Norway,Europe,NOR
1779,NCT02697578,Spain,Europe,ESP
1783,NCT02708368,Germany,Europe,DEU
1786,NCT02710799,Brazil,South America,BRA
1793,NCT02713256,Germany,Europe,DEU
1793,NCT02713256,United States,North America,USA
1798,NCT02714946,Italy,Europe,ITA
1799,NCT02721992,Italy,Europe,ITA
1807,NCT02725879,Greece,Europe,GRC
1811,NCT02727738,Italy,Europe,ITA
1820,NCT02764554,"Korea, Republic of",East Asia,KOR
1830,NCT02772705,China,East Asia,CHN
1834,NCT02778412,United States,North America,USA
1839,NCT02784223,France,Europe,FRA
1842,NCT02787486,United States,North America,USA
1843,NCT02798965,France,Europe,FRA
1849,NCT02824016,France,Europe,FRA
1850,NCT02824718,France,Europe,FRA
1853,NCT02830789,Denmark,Europe,DNK
1859,NCT02833857,Belgium,Europe,BEL
1859,NCT02833857,Germany,Europe,DEU
1859,NCT02833857,Lithuania,Europe,LTU
1859,NCT02833857,Poland,Europe,POL
1859,NCT02833857,United Kingdom,Europe,GBR
1859,NCT02833857,United States,North America,USA
1863,NCT02839655,France,Europe,FRA
1865,NCT02843542,Israel,Middle East,ISR
1867,NCT02845336,United States,North America,USA
1871,NCT02854345,France,Europe,FRA
1875,NCT02859896,Chile,South America,CHL
1875,NCT02859896,United States,North America,USA
1888,NCT02890472,France,Europe,FRA
1894,NCT02895906,United States,North America,USA
1897,NCT02904330,United Kingdom,Europe,GBR
1908,NCT02946918,United States,North America,USA
1915,NCT02953288,China,East Asia,CHN
1917,NCT02966093,China,East Asia,CHN
1919,NCT02973802,United Kingdom,Europe,GBR
1921,NCT02973997,United States,North America,USA
1928,NCT02989103,United States,North America,USA
1930,NCT02989428,Denmark,Europe,DNK
1937,NCT03002623,United States,North America,USA
1940,NCT03004209,"Korea, Republic of",East Asia,KOR
1944,NCT03009357,"Korea, Republic of",East Asia,KOR
1949,NCT03011736,United States,North America,USA
1952,NCT03012620,France,Europe,FRA
1953,NCT03013257,Hong Kong,East Asia,HKG
1957,NCT03023748,Hong Kong,East Asia,HKG
1962,NCT03027557,Denmark,Europe,DNK
1970,NCT03032198,United States,North America,USA
1973,NCT03036956,Pakistan,South Asia,PAK
1976,NCT03039439,United States,North America,USA
1982,NCT03046524,United States,North America,USA
1988,NCT03051126,United States,North America,USA
1989,NCT03052075,United States,North America,USA
1995,NCT03057925,China,East Asia,CHN
1997,NCT03061318,Chile,South America,CHL
1999,NCT03063190,Brazil,South America,BRA
2004,NCT03066076,Austria,Europe,AUT
2008,NCT03072160,United States,North America,USA
2011,NCT03082742,Brazil,South America,BRA
2019,NCT03091140,Greece,Europe,GRC
2020,NCT03093909,United States,North America,USA
2021,NCT03094416,United States,North America,USA
2023,NCT03096613,China,East Asia,CHN
2029,NCT03102099,China,East Asia,CHN
2039,NCT03105648,Taiwan,East Asia,TWN
2041,NCT03106337,United States,North America,USA
2042,NCT03106935,China,East Asia,CHN
2043,NCT03107078,China,East Asia,CHN
2047,NCT03108222,United States,North America,USA
2050,NCT03109847,United States,North America,USA
2054,NCT03110848,Italy,Europe,ITA
2060,NCT03114267,France,Europe,FRA
2061,NCT03115515,United States,North America,USA
2062,NCT03120221,Israel,Middle East,ISR
2064,NCT03122496,United States,North America,USA
2065,NCT03122847,Denmark,Europe,DNK
2071,NCT03123406,China,East Asia,CHN
2073,NCT03128255,Germany,Europe,DEU
2076,NCT03131206,United States,North America,USA
2078,NCT03131726,Sweden,Europe,SWE
2081,NCT03134976,United States,North America,USA
2089,NCT03157466,Italy,Europe,ITA
2090,NCT03158961,Hong Kong,East Asia,HKG
2093,NCT03160482,Canada,North America,CAN
2095,NCT03162627,United States,North America,USA
2096,NCT03167385,China,East Asia,CHN
2101,NCT03174925,United States,North America,USA
2103,NCT03178253,Egypt,Africa,EGY
2108,NCT03182699,Austria,Europe,AUT
2110,NCT03183752,Brazil,South America,BRA
2115,NCT03194087,China,East Asia,CHN
2121,NCT03199677,China,East Asia,CHN
2126,NCT03211117,United States,North America,USA
2130,NCT03226171,Japan,East Asia,JPN
2132,NCT03244956,France,Europe,FRA
2136,NCT03249012,Canada,North America,CAN
2139,NCT03257930,Egypt,Africa,EGY
2140,NCT03268785,China,East Asia,CHN
2143,NCT03271892,Canada,North America,CAN
2145,NCT03274258,United States,North America,USA
2146,NCT03278964,Brazil,South America,BRA
2150,NCT03280264,Japan,East Asia,JPN
2155,NCT03283098,China,East Asia,CHN
2157,NCT03284060,France,Europe,FRA
2160,NCT03285854,United Kingdom,Europe,GBR
2168,NCT03295955,"Korea, Republic of",East Asia,KOR
2169,NCT03298867,Germany,Europe,DEU
2169,NCT03298867,Italy,Europe,ITA
2169,NCT03298867,United States,North America,USA
2173,NCT03299244,China,East Asia,CHN
2173,NCT03299244,Hong Kong,East Asia,HKG
2173,NCT03299244,India,South Asia,IND
2173,NCT03299244,"Korea, Republic of",East Asia,KOR
2173,NCT03299244,Malaysia,Southest Asia,MYS
2173,NCT03299244,Taiwan,East Asia,TWN
2176,NCT03300284,United States,North America,USA
2181,NCT03303053,Malaysia,Southest Asia,MYS
2182,NCT03307694,United States,North America,USA
2185,NCT03309384,France,Europe,FRA
2186,NCT03309631,United States,North America,USA
2188,NCT03324022,Taiwan,East Asia,TWN
2197,NCT03324893,Canada,North America,CAN
2200,NCT03327636,Hong Kong,East Asia,HKG
2202,NCT03331172,Hong Kong,East Asia,HKG
2211,NCT03375359,Germany,Europe,DEU
2217,NCT03382158,United States,North America,USA
2218,NCT03387943,China,East Asia,CHN
2222,NCT03395925,Germany,Europe,DEU
2228,NCT03420963,United States,North America,USA
2229,NCT03425747,Italy,Europe,ITA
2232,NCT03434067,China,East Asia,CHN
2235,NCT03435952,United States,North America,USA
2238,NCT03440697,United States,North America,USA
2243,NCT03447093,China,East Asia,CHN
2249,NCT03461211,Germany,Europe,DEU
2249,NCT03461211,Italy,Europe,ITA
2249,NCT03461211,United States,North America,USA
2256,NCT03464149,Austria,Europe,AUT
2262,NCT03469310,United States,North America,USA
2271,NCT03484416,"Korea, Republic of",East Asia,KOR
2275,NCT03498183,France,Europe,FRA
2277,NCT03498417,Italy,Europe,ITA
2292,NCT03515863,China,East Asia,CHN
2297,NCT03516747,Israel,Middle East,ISR
2301,NCT03517267,Israel,Middle East,ISR
2302,NCT03517579,United States,North America,USA
2309,NCT03530462,China,East Asia,CHN
2314,NCT03535974,Romania,Europe,ROU
2319,NCT03543891,China,East Asia,CHN
2325,NCT03566537,Greece,Europe,GRC
2327,NCT03569787,United Kingdom,Europe,GBR
2330,NCT03574051,China,East Asia,CHN
2332,NCT03588884,United States,North America,USA
2340,NCT03602261,United States,North America,USA
2345,NCT03605472,France,Europe,FRA
2346,NCT03606824,China,East Asia,CHN
2349,NCT03614988,Brazil,South America,BRA
2355,NCT03626246,United States,North America,USA
2359,NCT03626948,Japan,East Asia,JPN
2366,NCT03633708,Argentina,South America,ARG
2366,NCT03633708,India,South Asia,IND
2366,NCT03633708,"Korea, Republic of",East Asia,KOR
2366,NCT03633708,Malaysia,Southest Asia,MYS
2366,NCT03633708,Russian Federation,North Asia,RUS
2366,NCT03633708,Singapore,Southest Asia,SGP
2366,NCT03633708,Taiwan,East Asia,TWN
2366,NCT03633708,Turkey,Middle East,TUR
2366,NCT03633708,Ukraine,Europe,UKR
2366,NCT03633708,United States,North America,USA
2373,NCT03641638,China,East Asia,CHN
2378,NCT03643081,France,Europe,FRA
2379,NCT03646383,France,Europe,FRA
2385,NCT03660800,United States,North America,USA
2392,NCT03669432,India,South Asia,IND
2396,NCT03676647,United States,North America,USA
2399,NCT03699098,Egypt,Africa,EGY
2401,NCT03700762,China,East Asia,CHN
2402,NCT03708627,United States,North America,USA
2407,NCT03713671,Turkey,Middle East,TUR
2412,NCT03716128,Denmark,Europe,DNK
2417,NCT03724188,Egypt,Africa,EGY
2424,NCT03732495,France,Europe,FRA
2428,NCT03753919,Spain,Europe,ESP
2434,NCT03761290,United States,North America,USA
2436,NCT03764007,United States,North America,USA
2440,NCT03772496,China,East Asia,CHN
2442,NCT03773120,"Korea, Republic of",East Asia,KOR
2455,NCT03801980,Japan,East Asia,JPN
2456,NCT03808779,China,East Asia,CHN
2456,NCT03808779,Ukraine,Europe,UKR
2463,NCT03822507,China,East Asia,CHN
2463,NCT03822507,Hong Kong,East Asia,HKG
2463,NCT03822507,"Korea, Republic of",East Asia,KOR
2463,NCT03822507,Taiwan,East Asia,TWN
2468,NCT03830242,China,East Asia,CHN
2470,NCT03831620,Switzerland,Europe,CHE
2475,NCT03835728,United States,North America,USA
2476,NCT03836300,United States,North America,USA
2480,NCT03845647,China,East Asia,CHN
2481,NCT03866382,Puerto Rico,Central America,PRI
2481,NCT03866382,United States,North America,USA
2485,NCT03872284,France,Europe,FRA
2487,NCT03878953,Japan,East Asia,JPN
2488,NCT03880578,Germany,Europe,DEU
2491,NCT03887611,China,East Asia,CHN
2493,NCT03889431,Ethiopia,Africa,ETH
2501,NCT03896958,United States,North America,USA
2502,NCT03898622,Mexico,North America,MEX
2507,NCT03910049,Greece,Europe,GRC
2511,NCT03922321,Canada,North America,CAN
2515,NCT03924804,China,East Asia,CHN
2520,NCT03931109,United States,North America,USA
2521,NCT03935984,United States,North America,USA
2524,NCT03937349,Russian Federation,North Asia,RUS
2527,NCT03938545,Canada,North America,CAN
2527,NCT03938545,Germany,Europe,DEU
2527,NCT03938545,Italy,Europe,ITA
2527,NCT03938545,Spain,Europe,ESP
2527,NCT03938545,United States,North America,USA
2531,NCT03941184,United States,North America,USA
2538,NCT03948191,China,East Asia,CHN
2545,NCT03957616,France,Europe,FRA
2548,NCT03960437,United States,North America,USA
2550,NCT03960554,United States,North America,USA
2557,NCT03969108,Canada,North America,CAN
2560,NCT03969329,Belgium,Europe,BEL
2560,NCT03969329,Czechia,Europe,CZE
2560,NCT03969329,France,Europe,FRA
2560,NCT03969329,Germany,Europe,DEU
2560,NCT03969329,Greece,Europe,GRC
2560,NCT03969329,Hungary,Europe,HUN
2560,NCT03969329,Italy,Europe,ITA
2560,NCT03969329,Lithuania,Europe,LTU
2560,NCT03969329,Poland,Europe,POL
2560,NCT03969329,Portugal,Europe,PRT
2560,NCT03969329,Spain,Europe,ESP
2560,NCT03969329,United Kingdom,Europe,GBR
2568,NCT03980132,Spain,Europe,ESP
2572,NCT03986593,Brazil,South America,BRA
2580,NCT04009863,Hong Kong,East Asia,HKG
2582,NCT04012476,Spain,Europe,ESP
2589,NCT04013139,"Iran, Islamic Republic of",Middle East,IRN
2591,NCT04019379,United States,North America,USA
2600,NCT04031638,France,Europe,FRA
2603,NCT04040946,France,Europe,FRA
2606,NCT04046354,China,East Asia,CHN
2611,NCT04053114,France,Europe,FRA
2619,NCT04064827,Puerto Rico,Central America,PRI
2619,NCT04064827,United States,North America,USA
2623,NCT04075851,China,East Asia,CHN
2626,NCT04080505,United States,North America,USA
2631,NCT04085419,Slovenia,Europe,SVN
2633,NCT04085913,United States,North America,USA
2634,NCT04096612,China,East Asia,CHN
2642,NCT04106596,France,Europe,FRA
2643,NCT04106843,United States,North America,USA
2648,NCT04126954,France,Europe,FRA
2652,NCT04129281,Italy,Europe,ITA
2657,NCT04135573,China,East Asia,CHN
2663,NCT04141540,France,Europe,FRA
2666,NCT04146259,Greece,Europe,GRC
2670,NCT04171622,United States,North America,USA
2673,NCT04175522,"Korea, Republic of",East Asia,KOR
2675,NCT04180007,China,East Asia,CHN
2676,NCT04193332,Denmark,Europe,DNK
2683,NCT04216732,United States,North America,USA
2691,NCT04239521,United Kingdom,Europe,GBR
2705,NCT04267965,Taiwan,East Asia,TWN
2708,NCT04270110,Egypt,Africa,EGY
2713,NCT04281875,United States,North America,USA
2714,NCT04284774,Puerto Rico,Central America,PRI
2714,NCT04284774,United States,North America,USA
2716,NCT04288115,United States,North America,USA
2717,NCT04288531,Portugal,Europe,PRT
2719,NCT04298684,France,Europe,FRA
2719,NCT04298684,Guadeloupe,Central America,GLP
2719,NCT04298684,Réunion,Africa,REU
2724,NCT04299425,United States,North America,USA
2729,NCT04305561,Denmark,Europe,DNK
2734,NCT04311606,United States,North America,USA
2746,NCT04329455,Egypt,Africa,EGY
2749,NCT04333342,"Korea, Republic of",East Asia,KOR
2756,NCT04339127,France,Europe,FRA
2759,NCT04339205,France,Europe,FRA
2761,NCT04344886,Czechia,Europe,CZE
2768,NCT04354896,Netherlands,Europe,NLD
2768,NCT04354896,Switzerland,Europe,CHE
2770,NCT04359979,Israel,Middle East,ISR
2776,NCT04373226,France,Europe,FRA
2778,NCT04383795,"Korea, Republic of",East Asia,KOR
2789,NCT04396912,Turkey,Middle East,TUR
2794,NCT04410601,Turkey,Middle East,TUR
2798,NCT04411290,Turkey,Middle East,TUR
2802,NCT04412694,Poland,Europe,POL
2806,NCT04424485,Turkey,Middle East,TUR
2810,NCT04433936,Egypt,Africa,EGY
2817,NCT04458233,Israel,Middle East,ISR
2822,NCT04463316,Netherlands,Europe,NLD
2824,NCT04463719,United States,North America,USA
2825,NCT04467021,United States,North America,USA
2826,NCT04472026,United States,North America,USA
2831,NCT04477798,China,East Asia,CHN
