,PMID,Population
5227,14595788,adult
5228,14595788,aged
5229,14595788,"aged, 80 and over"
5236,14595788,female
5241,14595788,middle aged
5243,12424934,adolescent
5244,12424934,child
5247,12424934,female
5253,12424934,male
5259,12879236,adult
5260,12879236,aged
5265,12879236,female
5271,12879236,male
5272,12879236,middle aged
5275,12411067,child
5276,12411067,female
5280,12411067,male
5282,14758806,female
5287,14758806,middle aged
5292,12645410,adult
5295,12645410,female
5299,12645410,male
5300,12645410,middle aged
5306,12224455,adult
5308,12224455,female
5311,12224455,male
5312,12224455,middle aged
5317,12658310,adult
5318,12658310,child
5346,12354133,adult
5347,12354133,aged
5350,12354133,female
5356,12354133,male
5357,12354133,middle aged
5365,12382370,adolescent
5366,12382370,adult
5367,12382370,aged
5368,12382370,"aged, 80 and over"
5369,12382370,female
5377,12382370,male
5378,12382370,middle aged
5383,12148391,adult
5386,12148391,female
5391,12148391,male
5392,12148391,middle aged
5396,12490109,adult
5397,12490109,aged
5398,12490109,female
5403,12490109,male
5404,12490109,middle aged
5407,12508836,adult
5409,12508836,female
5413,12508836,male
5414,12508836,middle aged
5419,12100447,adolescent
5425,12100447,child
5426,12100447,female
5432,12100447,male
5436,12926198,adolescent
5437,12926198,adult
5438,12926198,aged
5441,12926198,female
5445,12926198,male
5446,12926198,middle aged
5456,12914396,adult
5457,12914396,child
5459,12914396,female
5463,12914396,"infant, newborn"
5465,12914396,male
5468,12903621,aged
5475,12903621,male
5481,14751042,adult
5486,14751042,female
5492,15100909,aged
5496,15100909,female
5502,12616438,female
5506,12616438,male
5507,12616438,middle aged
5512,12186199,child
5515,12186199,female
5521,12186199,male
5523,12715636,adult
5528,12715636,female
5532,12715636,male
5533,12715636,middle aged
5545,12193877,aged
5546,12193877,"aged, 80 and over"
5550,12193877,female
5562,12626830,female
5567,12626830,male
5574,14655137,adult
5576,14655137,female
5580,14655137,male
5584,12428877,adult
5586,12428877,female
5594,14649472,adolescent
5595,14649472,child
5596,14649472,female
5601,14649472,male
5604,12166366,aged
5616,12049693,adolescent
5617,12049693,adult
5619,12049693,aged
5620,12049693,"aged, 80 and over"
5622,12049693,child
5625,12049693,female
5629,12049693,male
5631,12049693,middle aged
5636,12845832,adolescent
5637,12845832,aged
5641,12845832,female
5653,14693502,child
5655,14693502,female
5664,12731243,female
5670,12731243,male
5677,12667361,adult
5678,12667361,child
5685,12390346,adult
5696,12934444,adolescent
5697,12934444,adult
5698,12934444,aged
5700,12934444,female
5704,12934444,male
5705,12934444,middle aged
5712,12901264,adult
5717,12901264,female
5720,12901264,male
5721,12901264,middle aged
5725,12766787,aged
5726,12766787,female
5732,17722789,adult
5734,17722789,female
5739,12669544,adolescent
5740,12669544,child
5741,12669544,female
5745,12669544,male
5750,12239773,aged
5753,12239773,female
5771,12822212,adult
5773,12822212,aged
5774,12822212,"aged, 80 and over"
5778,12822212,female
5781,12822212,male
5782,12822212,middle aged
5809,12478541,adult
5810,12478541,aged
5811,12478541,"aged, 80 and over"
5814,12478541,female
5819,12478541,male
5820,12478541,middle aged
5838,14650793,female
5841,14650793,middle aged
5847,15027738,male
5848,15027738,middle aged
5849,12955050,adolescent
5850,12955050,adult
5851,12955050,aged
5852,12955050,female
5856,12955050,male
5857,12955050,middle aged
5862,11944374,adolescent
5863,11944374,adult
5865,11944374,aged
5866,11944374,child
5867,11944374,"child, preschool"
5868,11944374,female
5873,11944374,male
5874,11944374,middle aged
5879,15776593,adult
5880,15776593,female
5883,15776593,male
5884,15776593,middle aged
5887,12873316,adult
5888,12873316,aged
5891,12873316,female
5895,12873316,middle aged
5899,15323237,adult
5900,15323237,aged
5901,15323237,female
5907,15323237,male
5908,15323237,middle aged
5944,14725236,aged
5945,14725236,"aged, 80 and over"
5946,14725236,female
5950,12148402,adult
5951,12148402,aged
5953,12148402,child
5954,12148402,female
5957,12148402,male
5958,12148402,middle aged
5991,12715346,adult
5994,12715346,female
6005,12508922,aged
6006,12508922,"aged, 80 and over"
6007,12508922,female
6015,12508922,male
6016,12508922,middle aged
6020,11889806,aged
6021,11889806,"aged, 80 and over"
6023,11889806,female
6028,11889806,middle aged
6032,12011748,female
6036,12011748,middle aged
6038,12428569,adult
6039,12428569,aged
6040,12428569,female
6044,12428569,middle aged
6050,12804107,adult
6053,12804107,female
6058,12804107,male
6059,12804107,middle aged
6066,14617385,adult
6067,14617385,aged
6072,14617385,female
6075,14617385,male
6076,14617385,middle aged
6083,12113636,adult
6087,12113636,female
6099,12415954,adolescent
6100,12415954,adult
6103,12415954,female
6109,12415954,male
6112,12415954,middle aged
6119,12043914,adolescent
6120,12043914,adult
6121,12043914,aged
