,PMID,Condition,Category
7964,32739299,thyrotoxicosis,hyperthyroidism
7965,33534232,graves disease,hyperthyroidism
7965,33534232,graves' disease,hyperthyroidism
7965,33534232,thyroidectomy,thyroid disease
7966,33468490,graves ophthalmopathy,hyperthyroidism
7967,32562184,graves disease,hyperthyroidism
7967,32562184,graves' disease,hyperthyroidism
7968,32300961,graves' disease,hyperthyroidism
7968,32300961,graves ophthalmopathy,hyperthyroidism
7969,32200816,graves ophthalmopathy,hyperthyroidism
7970,34855075,hyperthyroidism,hyperthyroidism
7970,34855075,graves disease,hyperthyroidism
7970,34855075,graves' disease,hyperthyroidism
7971,33407998,graves ophthalmopathy,hyperthyroidism
7972,32666762,graves disease,hyperthyroidism
7972,32666762,graves' disease,hyperthyroidism
7972,32666762,"thyroiditis, autoimmune",thyroiditis
7972,32666762,hashimoto disease,thyroiditis
7972,32666762,thyroiditis,thyroiditis
7972,32666762,thyroid disease,thyroid disease
7972,32666762,thyroid diseases,thyroid disease
7973,32858059,hyperthyroidism,hyperthyroidism
7973,32858059,graves disease,hyperthyroidism
7973,32858059,graves' disease,hyperthyroidism
7974,32134013,hyperthyroidism,hyperthyroidism
7974,32134013,graves disease,hyperthyroidism
7974,32134013,graves' disease,hyperthyroidism
7974,32134013,thyrotoxicosis,hyperthyroidism
7974,32134013,thyroid crisis,hyperthyroidism
7974,32134013,thyroiditis,thyroiditis
7974,32134013,thyroid disease,thyroid disease
7974,32134013,thyroid diseases,thyroid disease
7975,33349844,hyperthyroidism,hyperthyroidism
7975,33349844,graves disease,hyperthyroidism
7975,33349844,graves' disease,hyperthyroidism
7975,33349844,thyrotoxicosis,hyperthyroidism
7975,33349844,hypothyroidism,hypothyroidism
7975,33349844,thyroid disease,thyroid disease
7975,33349844,thyroid diseases,thyroid disease
7976,32693696,graves ophthalmopathy,hyperthyroidism
7977,32249902,graves ophthalmopathy,hyperthyroidism
7978,31990745,graves ophthalmopathy,hyperthyroidism
7979,31865369,hyperthyroidism,hyperthyroidism
7979,31865369,graves disease,hyperthyroidism
7980,31756165,graves disease,hyperthyroidism
7980,31756165,graves' disease,hyperthyroidism
7980,31756165,thyroid disease,thyroid disease
7981,32804020,graves disease,hyperthyroidism
7981,32804020,thyroidectomy,thyroid disease
7982,33880967,graves ophthalmopathy,hyperthyroidism
7982,33880967,thyroid disease,thyroid disease
7982,33880967,thyroid diseases,thyroid disease
7983,32572525,hyperthyroidism,hyperthyroidism
7983,32572525,graves disease,hyperthyroidism
7983,32572525,thyroidectomy,thyroid disease
7984,32176314,graves' disease,hyperthyroidism
7984,32176314,graves ophthalmopathy,hyperthyroidism
7985,31990744,graves ophthalmopathy,hyperthyroidism
7986,31952487,graves ophthalmopathy,hyperthyroidism
7987,33972303,graves ophthalmopathy,hyperthyroidism
7987,33972303,thyroid disease,thyroid disease
7988,33221815,graves ophthalmopathy,hyperthyroidism
7989,32769997,goiter,goiter
7989,32769997,thyroid neoplasms,thyroid neoplasms
7990,33050937,graves disease,hyperthyroidism
7990,33050937,graves' disease,hyperthyroidism
7990,33050937,thyroid neoplasms,thyroid neoplasms
7990,33050937,"thyroid cancer, papillary",thyroid neoplasms
7990,33050937,thyroidectomy,thyroid disease
7991,32946823,graves disease,hyperthyroidism
7991,32946823,thyroidectomy,thyroid disease
7992,32874077,graves disease,hyperthyroidism
7992,32874077,graves' disease,hyperthyroidism
7992,32874077,hypothyroidism,hypothyroidism
7993,32321476,graves ophthalmopathy,hyperthyroidism
7994,32638278,graves' disease,hyperthyroidism
7994,32638278,graves ophthalmopathy,hyperthyroidism
7995,32462203,graves ophthalmopathy,hyperthyroidism
7996,31997590,graves disease,hyperthyroidism
7996,31997590,thyroid gland,thyroid disease
7997,34183558,graves ophthalmopathy,hyperthyroidism
7998,34079079,graves disease,hyperthyroidism
7998,34079079,graves' disease,hyperthyroidism
7999,32447327,hyperthyroidism,hyperthyroidism
7999,32447327,graves ophthalmopathy,hyperthyroidism
8000,32399893,hyperthyroidism,hyperthyroidism
8000,32399893,graves disease,hyperthyroidism
8000,32399893,graves' disease,hyperthyroidism
8001,34229337,graves ophthalmopathy,hyperthyroidism
8002,33934590,graves ophthalmopathy,hyperthyroidism
8003,33768488,graves ophthalmopathy,hyperthyroidism
8004,33471693,graves disease,hyperthyroidism
8005,33381085,graves' disease,hyperthyroidism
8005,33381085,graves ophthalmopathy,hyperthyroidism
8006,32205652,graves ophthalmopathy,hyperthyroidism
8007,33674648,graves ophthalmopathy,hyperthyroidism
8008,32297812,graves disease,hyperthyroidism
8008,32297812,graves' disease,hyperthyroidism
8009,32090526,graves ophthalmopathy,hyperthyroidism
8009,32090526,thyroid gland,thyroid disease
8010,34939881,graves disease,hyperthyroidism
8011,33158379,graves ophthalmopathy,hyperthyroidism
8012,32969067,hyperthyroidism,hyperthyroidism
8012,32969067,graves disease,hyperthyroidism
8013,31929534,hyperthyroidism,hyperthyroidism
8013,31929534,graves disease,hyperthyroidism
8013,31929534,graves' disease,hyperthyroidism
8013,31929534,graves ophthalmopathy,hyperthyroidism
8014,33865499,graves ophthalmopathy,hyperthyroidism
8015,33139874,hyperthyroidism,hyperthyroidism
8015,33139874,graves ophthalmopathy,hyperthyroidism
8015,33139874,hypothyroidism,hypothyroidism
8016,32759886,hyperthyroidism,hyperthyroidism
8016,32759886,graves disease,hyperthyroidism
8016,32759886,graves' disease,hyperthyroidism
8016,32759886,thyroid neoplasms,thyroid neoplasms
8017,32671382,graves disease,hyperthyroidism
8017,32671382,graves' disease,hyperthyroidism
8017,32671382,hypothyroidism,hypothyroidism
8018,31915884,graves ophthalmopathy,hyperthyroidism
8019,32712880,goiter,goiter
8019,32712880,"goiter, nodular",goiter
8019,32712880,thyroid neoplasms,thyroid neoplasms
8020,33543610,graves ophthalmopathy,hyperthyroidism
8021,33399764,hyperthyroidism,hyperthyroidism
8021,33399764,graves disease,hyperthyroidism
8021,33399764,graves' disease,hyperthyroidism
8022,32668458,graves disease,hyperthyroidism
8022,32668458,graves' disease,hyperthyroidism
8022,32668458,hypothyroidism,hypothyroidism
8023,34704876,graves ophthalmopathy,hyperthyroidism
8024,34635084,graves ophthalmopathy,hyperthyroidism
8025,34533769,hyperthyroidism,hyperthyroidism
8025,34533769,graves disease,hyperthyroidism
8025,34533769,graves' disease,hyperthyroidism
8026,34212219,graves ophthalmopathy,hyperthyroidism
8027,33128233,hyperthyroidism,hyperthyroidism
8027,33128233,graves disease,hyperthyroidism
8027,33128233,graves' disease,hyperthyroidism
8028,31789788,graves ophthalmopathy,hyperthyroidism
8029,33565845,goiter,goiter
8029,33565845,hyperthyroidism,hyperthyroidism
8029,33565845,graves disease,hyperthyroidism
8029,33565845,graves' disease,hyperthyroidism
8029,33565845,hypothyroidism,hypothyroidism
8029,33565845,thyroid gland,thyroid disease
8030,33121425,hyperthyroidism,hyperthyroidism
8030,33121425,graves disease,hyperthyroidism
8030,33121425,graves' disease,hyperthyroidism
8030,33121425,thyroiditis,thyroiditis
8031,32643429,graves ophthalmopathy,hyperthyroidism
8032,32457697,graves disease,hyperthyroidism
8032,32457697,graves' disease,hyperthyroidism
8032,32457697,thyrotoxicosis,hyperthyroidism
8032,32457697,"thyroiditis, subacute",thyroiditis
8032,32457697,thyroiditis,thyroiditis
8033,34473251,graves ophthalmopathy,hyperthyroidism
8034,33663058,graves ophthalmopathy,hyperthyroidism
8035,32020665,graves disease,hyperthyroidism
8036,31928169,hyperthyroidism,hyperthyroidism
8036,31928169,graves disease,hyperthyroidism
8036,31928169,graves' disease,hyperthyroidism
8036,31928169,thyrotoxicosis,hyperthyroidism
8037,34062581,graves ophthalmopathy,hyperthyroidism
8038,33930408,graves' disease,hyperthyroidism
8038,33930408,graves ophthalmopathy,hyperthyroidism
8039,33783712,graves ophthalmopathy,hyperthyroidism
8040,32908802,graves ophthalmopathy,hyperthyroidism
8041,32738825,graves disease,hyperthyroidism
8041,32738825,graves' disease,hyperthyroidism
8041,32738825,hashimoto disease,thyroiditis
8041,32738825,thyroiditis,thyroiditis
8041,32738825,thyroid disease,thyroid disease
8042,32355235,graves ophthalmopathy,hyperthyroidism
8043,33630776,graves ophthalmopathy,hyperthyroidism
8044,32053844,graves disease,hyperthyroidism
8044,32053844,hashimoto disease,thyroiditis
8045,33964007,graves disease,hyperthyroidism
8045,33964007,graves' disease,hyperthyroidism
8045,33964007,graves ophthalmopathy,hyperthyroidism
8046,34867951,graves disease,hyperthyroidism
8046,34867951,graves' disease,hyperthyroidism
8046,34867951,hashimoto disease,thyroiditis
8046,34867951,thyroiditis,thyroiditis
8046,34867951,thyroid disease,thyroid disease
8046,34867951,thyroid diseases,thyroid disease
8047,34412613,graves ophthalmopathy,hyperthyroidism
8047,34412613,thyrotoxicosis,hyperthyroidism
8048,33051540,hyperthyroidism,hyperthyroidism
8048,33051540,graves disease,hyperthyroidism
8048,33051540,graves' disease,hyperthyroidism
8049,32785703,graves disease,hyperthyroidism
8049,32785703,graves' disease,hyperthyroidism
8050,33603715,graves ophthalmopathy,hyperthyroidism
8051,34117002,hyperthyroidism,hyperthyroidism
8051,34117002,graves disease,hyperthyroidism
8051,34117002,graves' disease,hyperthyroidism
8051,34117002,thyrotoxicosis,hyperthyroidism
8052,32968297,hyperthyroidism,hyperthyroidism
8052,32968297,graves disease,hyperthyroidism
8052,32968297,graves' disease,hyperthyroidism
8052,32968297,thyrotoxicosis,hyperthyroidism
8053,34602013,graves ophthalmopathy,hyperthyroidism
8054,34051850,graves ophthalmopathy,hyperthyroidism
8054,34051850,thyroid disease,thyroid disease
8055,33710036,graves ophthalmopathy,hyperthyroidism
8056,32567442,graves ophthalmopathy,hyperthyroidism
8057,32007222,graves disease,hyperthyroidism
8057,32007222,graves' disease,hyperthyroidism
8058,32648002,hyperthyroidism,hyperthyroidism
8058,32648002,graves' disease,hyperthyroidism
8058,32648002,graves ophthalmopathy,hyperthyroidism
8059,32583374,graves' disease,hyperthyroidism
8059,32583374,graves ophthalmopathy,hyperthyroidism
8059,32583374,thyroiditis,thyroiditis
8060,32567373,graves ophthalmopathy,hyperthyroidism
8061,34116129,graves ophthalmopathy,hyperthyroidism
8062,32402541,graves disease,hyperthyroidism
8062,32402541,thyroidectomy,thyroid disease
8063,34986938,hyperthyroidism,hyperthyroidism
8063,34986938,graves disease,hyperthyroidism
8063,34986938,graves' disease,hyperthyroidism
8063,34986938,thyroid neoplasms,thyroid neoplasms
8064,34406498,graves ophthalmopathy,hyperthyroidism
8065,34344134,graves ophthalmopathy,hyperthyroidism
8066,32032085,graves disease,hyperthyroidism
8066,32032085,graves' disease,hyperthyroidism
8066,32032085,thyroidectomy,thyroid disease
8067,32842335,graves ophthalmopathy,hyperthyroidism
8068,34747929,hyperthyroidism,hyperthyroidism
8068,34747929,graves disease,hyperthyroidism
8069,34077777,graves' disease,hyperthyroidism
8069,34077777,graves ophthalmopathy,hyperthyroidism
8070,33261249,hyperthyroidism,hyperthyroidism
8070,33261249,graves disease,hyperthyroidism
8071,34594339,hyperthyroidism,hyperthyroidism
8071,34594339,graves disease,hyperthyroidism
8071,34594339,graves' disease,hyperthyroidism
8072,33866536,graves ophthalmopathy,hyperthyroidism
8073,34114495,graves disease,hyperthyroidism
8073,34114495,graves' disease,hyperthyroidism
8073,34114495,graves ophthalmopathy,hyperthyroidism
8073,34114495,thyroid neoplasms,thyroid neoplasms
8074,33148577,hyperthyroidism,hyperthyroidism
8074,33148577,graves disease,hyperthyroidism
8074,33148577,graves' disease,hyperthyroidism
8074,33148577,thyrotoxicosis,hyperthyroidism
8074,33148577,hypothyroidism,hypothyroidism
8074,33148577,"thyroiditis, autoimmune",thyroiditis
8074,33148577,hashimoto disease,thyroiditis
8074,33148577,thyroiditis,thyroiditis
8074,33148577,thyroid disease,thyroid disease
8075,34743468,graves ophthalmopathy,hyperthyroidism
8076,33844898,hyperthyroidism,hyperthyroidism
8076,33844898,graves ophthalmopathy,hyperthyroidism
8076,33844898,hypothyroidism,hypothyroidism
8076,33844898,thyroiditis,thyroiditis
8076,33844898,thyroid disease,thyroid disease
8076,33844898,thyroid diseases,thyroid disease
8076,33844898,thyroid gland,thyroid disease
8077,31261163,graves ophthalmopathy,hyperthyroidism
8078,32339726,goiter,goiter
8078,32339726,"goiter, nodular",goiter
8078,32339726,thyroid neoplasms,thyroid neoplasms
8079,33882721,hyperthyroidism,hyperthyroidism
8079,33882721,graves disease,hyperthyroidism
8079,33882721,graves' disease,hyperthyroidism
8080,32669187,hyperthyroidism,hyperthyroidism
8080,32669187,graves disease,hyperthyroidism
8080,32669187,graves' disease,hyperthyroidism
8080,32669187,graves ophthalmopathy,hyperthyroidism
8080,32669187,hypothyroidism,hypothyroidism
8081,32053845,graves disease,hyperthyroidism
8081,32053845,graves' disease,hyperthyroidism
8082,31980544,hyperthyroidism,hyperthyroidism
8082,31980544,graves disease,hyperthyroidism
8082,31980544,graves' disease,hyperthyroidism
8082,31980544,thyrotoxicosis,hyperthyroidism
8082,31980544,thyroid crisis,hyperthyroidism
8083,33505575,hyperthyroidism,hyperthyroidism
8083,33505575,graves disease,hyperthyroidism
8083,33505575,graves' disease,hyperthyroidism
8083,33505575,thyrotoxicosis,hyperthyroidism
8084,32200817,graves ophthalmopathy,hyperthyroidism
8085,34526052,graves ophthalmopathy,hyperthyroidism
8086,33780350,graves disease,hyperthyroidism
8086,33780350,graves' disease,hyperthyroidism
8087,32799342,hyperthyroidism,hyperthyroidism
8087,32799342,graves disease,hyperthyroidism
8087,32799342,graves' disease,hyperthyroidism
8088,33743531,graves ophthalmopathy,hyperthyroidism
8089,33733445,graves' disease,hyperthyroidism
8089,33733445,graves ophthalmopathy,hyperthyroidism
8090,33409786,graves ophthalmopathy,hyperthyroidism
8090,33409786,thyroid disease,thyroid disease
8090,33409786,thyroid diseases,thyroid disease
8091,33081749,graves ophthalmopathy,hyperthyroidism
8092,32855872,graves' disease,hyperthyroidism
8092,32855872,graves ophthalmopathy,hyperthyroidism
8093,32779176,graves disease,hyperthyroidism
8093,32779176,graves' disease,hyperthyroidism
8094,32467520,graves ophthalmopathy,hyperthyroidism
8095,32546346,hyperthyroidism,hyperthyroidism
8095,32546346,graves disease,hyperthyroidism
8095,32546346,graves' disease,hyperthyroidism
8096,33391187,graves' disease,hyperthyroidism
8096,33391187,graves ophthalmopathy,hyperthyroidism
8097,33311000,graves disease,hyperthyroidism
8097,33311000,graves' disease,hyperthyroidism
8097,33311000,hashimoto disease,thyroiditis
8097,33311000,thyroiditis,thyroiditis
8097,33311000,thyroid disease,thyroid disease
8097,33311000,thyroid gland,thyroid disease
8098,33025123,graves ophthalmopathy,hyperthyroidism
8099,32919017,graves ophthalmopathy,hyperthyroidism
8100,32460318,graves ophthalmopathy,hyperthyroidism
8101,32040069,graves ophthalmopathy,hyperthyroidism
8102,34106438,hyperthyroidism,hyperthyroidism
8102,34106438,graves disease,hyperthyroidism
8102,34106438,graves' disease,hyperthyroidism
8103,34060524,graves ophthalmopathy,hyperthyroidism
8104,33817897,graves ophthalmopathy,hyperthyroidism
8105,33599843,graves ophthalmopathy,hyperthyroidism
8106,33446163,graves ophthalmopathy,hyperthyroidism
8107,33351346,hyperthyroidism,hyperthyroidism
8107,33351346,graves disease,hyperthyroidism
8107,33351346,graves' disease,hyperthyroidism
8108,32134770,graves ophthalmopathy,hyperthyroidism
8109,31567914,graves ophthalmopathy,hyperthyroidism
8110,34180765,hyperthyroidism,hyperthyroidism
8110,34180765,graves disease,hyperthyroidism
8110,34180765,graves' disease,hyperthyroidism
8110,34180765,"thyroid cancer, papillary",thyroid neoplasms
8111,32940167,graves ophthalmopathy,hyperthyroidism
8112,34282595,graves ophthalmopathy,hyperthyroidism
8113,33539318,graves disease,hyperthyroidism
8113,33539318,graves ophthalmopathy,hyperthyroidism
8113,33539318,hypothyroidism,hypothyroidism
8114,32849306,hyperthyroidism,hyperthyroidism
8114,32849306,graves disease,hyperthyroidism
8114,32849306,graves' disease,hyperthyroidism
8114,32849306,thyrotoxicosis,hyperthyroidism
8115,32238669,hyperthyroidism,hyperthyroidism
8115,32238669,graves disease,hyperthyroidism
8115,32238669,thyroidectomy,thyroid disease
8116,31603857,hyperthyroidism,hyperthyroidism
8116,31603857,graves disease,hyperthyroidism
8116,31603857,graves' disease,hyperthyroidism
8116,31603857,hypothyroidism,hypothyroidism
8116,31603857,thyroid gland,thyroid disease
8116,31603857,thyroidectomy,thyroid disease
8117,33849364,graves' disease,hyperthyroidism
8117,33849364,graves ophthalmopathy,hyperthyroidism
8118,34431214,graves disease,hyperthyroidism
8118,34431214,graves' disease,hyperthyroidism
8119,32429706,graves ophthalmopathy,hyperthyroidism
8120,32192806,goiter,goiter
8120,32192806,"goiter, nodular",goiter
8120,32192806,hyperthyroidism,hyperthyroidism
8120,32192806,thyroid neoplasms,thyroid neoplasms
8120,32192806,"thyroid cancer, papillary",thyroid neoplasms
8120,32192806,thyroid nodule,thyroid nodule
8120,32192806,thyroid gland,thyroid disease
8121,32332174,hyperthyroidism,hyperthyroidism
8121,32332174,graves disease,hyperthyroidism
8121,32332174,graves' disease,hyperthyroidism
8121,32332174,thyroiditis,thyroiditis
8122,34867796,hyperthyroidism,hyperthyroidism
8122,34867796,graves disease,hyperthyroidism
8122,34867796,graves' disease,hyperthyroidism
8123,33443817,graves ophthalmopathy,hyperthyroidism
8124,35018760,hyperthyroidism,hyperthyroidism
8124,35018760,graves disease,hyperthyroidism
8124,35018760,graves' disease,hyperthyroidism
8125,33481154,graves disease,hyperthyroidism
8125,33481154,graves ophthalmopathy,hyperthyroidism
8126,31884513,graves ophthalmopathy,hyperthyroidism
8127,33821882,graves ophthalmopathy,hyperthyroidism
8128,33190238,goiter,goiter
8128,33190238,"goiter, nodular",goiter
8128,33190238,thyroidectomy,thyroid disease
8129,34220335,graves' disease,hyperthyroidism
8129,34220335,graves ophthalmopathy,hyperthyroidism
8129,34220335,hypothyroidism,hypothyroidism
8129,34220335,thyroid gland,thyroid disease
8130,34122333,hyperthyroidism,hyperthyroidism
8130,34122333,graves disease,hyperthyroidism
8130,34122333,graves' disease,hyperthyroidism
8130,34122333,thyroid gland,thyroid disease
8131,32501499,graves disease,hyperthyroidism
8132,34889904,graves' disease,hyperthyroidism
8132,34889904,graves ophthalmopathy,hyperthyroidism
8133,32823277,graves disease,hyperthyroidism
8133,32823277,graves' disease,hyperthyroidism
8133,32823277,hashimoto disease,thyroiditis
8133,32823277,thyroiditis,thyroiditis
8133,32823277,thyroid disease,thyroid disease
8134,32447416,hyperthyroidism,hyperthyroidism
8134,32447416,graves disease,hyperthyroidism
8134,32447416,graves' disease,hyperthyroidism
8134,32447416,thyroidectomy,thyroid disease
8135,33906763,graves ophthalmopathy,hyperthyroidism
8136,33858251,graves disease,hyperthyroidism
8136,33858251,graves' disease,hyperthyroidism
8137,32090348,graves ophthalmopathy,hyperthyroidism
8138,31743280,graves ophthalmopathy,hyperthyroidism
8139,33471641,hyperthyroidism,hyperthyroidism
8139,33471641,graves disease,hyperthyroidism
8139,33471641,hypothyroidism,hypothyroidism
8139,33471641,thyroid nodule,thyroid nodule
8140,34284740,graves ophthalmopathy,hyperthyroidism
8141,33678636,hyperthyroidism,hyperthyroidism
8141,33678636,graves disease,hyperthyroidism
8141,33678636,graves' disease,hyperthyroidism
8142,33445184,graves ophthalmopathy,hyperthyroidism
8143,33131690,graves ophthalmopathy,hyperthyroidism
8144,31895727,graves ophthalmopathy,hyperthyroidism
8145,33551434,graves disease,hyperthyroidism
8145,33551434,graves' disease,hyperthyroidism
8145,33551434,thyroid neoplasms,thyroid neoplasms
8145,33551434,"thyroid cancer, papillary",thyroid neoplasms
8146,33193097,graves ophthalmopathy,hyperthyroidism
8147,32495527,graves ophthalmopathy,hyperthyroidism
8148,34488259,graves ophthalmopathy,hyperthyroidism
8149,34253812,graves disease,hyperthyroidism
8149,34253812,hashimoto disease,thyroiditis
8149,34253812,thyroiditis,thyroiditis
8150,33938028,graves ophthalmopathy,hyperthyroidism
8151,33682498,hyperthyroidism,hyperthyroidism
8151,33682498,graves disease,hyperthyroidism
8151,33682498,graves' disease,hyperthyroidism
8152,33517506,graves disease,hyperthyroidism
8152,33517506,graves ophthalmopathy,hyperthyroidism
8153,32883985,graves ophthalmopathy,hyperthyroidism
8154,33351361,graves disease,hyperthyroidism
8154,33351361,graves' disease,hyperthyroidism
8154,33351361,thyrotoxicosis,hyperthyroidism
8154,33351361,hypothyroidism,hypothyroidism
8155,32814653,graves ophthalmopathy,hyperthyroidism
8156,34132199,goiter,goiter
8156,34132199,hyperthyroidism,hyperthyroidism
8157,33199029,goiter,goiter
8157,33199029,"goiter, nodular",goiter
8158,32165640,goiter,goiter
8158,32165640,"goiter, nodular",goiter
8159,32074519,goiter,goiter
8159,32074519,graves disease,hyperthyroidism
8159,32074519,graves' disease,hyperthyroidism
8159,32074519,hashimoto disease,thyroiditis
8160,32374820,graves disease,hyperthyroidism
8160,32374820,graves' disease,hyperthyroidism
8160,32374820,hashimoto disease,thyroiditis
8160,32374820,thyroiditis,thyroiditis
8160,32374820,thyroid gland,thyroid disease
8161,32893239,hyperthyroidism,hyperthyroidism
8161,32893239,graves disease,hyperthyroidism
8162,32439897,graves' disease,hyperthyroidism
8162,32439897,graves ophthalmopathy,hyperthyroidism
8163,34479513,hyperthyroidism,hyperthyroidism
8163,34479513,graves disease,hyperthyroidism
8163,34479513,graves' disease,hyperthyroidism
8164,34113406,graves ophthalmopathy,hyperthyroidism
8165,33853117,graves ophthalmopathy,hyperthyroidism
8166,34342595,hyperthyroidism,hyperthyroidism
8166,34342595,graves disease,hyperthyroidism
8166,34342595,graves' disease,hyperthyroidism
8166,34342595,thyroid gland,thyroid disease
8167,33132244,graves disease,hyperthyroidism
8167,33132244,graves' disease,hyperthyroidism
8167,33132244,thyroid gland,thyroid disease
8168,33630087,goiter,goiter
8168,33630087,"goiter, nodular",goiter
8168,33630087,graves disease,hyperthyroidism
8168,33630087,thyrotoxicosis,hyperthyroidism
8168,33630087,hypothyroidism,hypothyroidism
8168,33630087,thyroid neoplasms,thyroid neoplasms
8168,33630087,thyroid nodule,thyroid nodule
8168,33630087,thyroid disease,thyroid disease
8168,33630087,thyroid diseases,thyroid disease
8168,33630087,thyroidectomy,thyroid disease
8169,33423386,graves ophthalmopathy,hyperthyroidism
8170,32651061,graves disease,hyperthyroidism
8170,32651061,graves' disease,hyperthyroidism
8170,32651061,thyrotoxicosis,hyperthyroidism
8170,32651061,hypothyroidism,hypothyroidism
8170,32651061,postpartum thyroiditis,thyroiditis
8170,32651061,thyroiditis,thyroiditis
8170,32651061,thyroid disease,thyroid disease
8170,32651061,thyroid diseases,thyroid disease
8171,34238277,graves disease,hyperthyroidism
8171,34238277,graves' disease,hyperthyroidism
8171,34238277,hashimoto disease,thyroiditis
8171,34238277,thyroiditis,thyroiditis
8171,34238277,thyroid disease,thyroid disease
8172,33999902,graves ophthalmopathy,hyperthyroidism
8173,33922887,graves disease,hyperthyroidism
8173,33922887,graves' disease,hyperthyroidism
8174,33471691,graves disease,hyperthyroidism
8174,33471691,graves' disease,hyperthyroidism
8175,33025554,hyperthyroidism,hyperthyroidism
8175,33025554,graves disease,hyperthyroidism
8176,33488527,graves disease,hyperthyroidism
8176,33488527,graves' disease,hyperthyroidism
8176,33488527,thyrotoxicosis,hyperthyroidism
8176,33488527,"thyroiditis, autoimmune",thyroiditis
8176,33488527,thyroiditis,thyroiditis
8177,33380308,graves disease,hyperthyroidism
8177,33380308,graves' disease,hyperthyroidism
8177,33380308,thyroid neoplasms,thyroid neoplasms
8177,33380308,thyroid nodule,thyroid nodule
8177,33380308,thyroidectomy,thyroid disease
8178,34258936,graves ophthalmopathy,hyperthyroidism
8179,33693700,graves' disease,hyperthyroidism
8179,33693700,graves ophthalmopathy,hyperthyroidism
8180,33386169,graves disease,hyperthyroidism
8180,33386169,graves' disease,hyperthyroidism
8180,33386169,hashimoto disease,thyroiditis
8180,33386169,thyroiditis,thyroiditis
8181,32825964,graves disease,hyperthyroidism
8181,32825964,graves' disease,hyperthyroidism
8181,32825964,thyroid neoplasms,thyroid neoplasms
8181,32825964,hashimoto disease,thyroiditis
8181,32825964,thyroiditis,thyroiditis
8181,32825964,thyroid gland,thyroid disease
8182,32802832,graves disease,hyperthyroidism
8182,32802832,graves' disease,hyperthyroidism
8182,32802832,hashimoto disease,thyroiditis
8182,32802832,thyroiditis,thyroiditis
8182,32802832,thyroid disease,thyroid disease
8182,32802832,thyroid diseases,thyroid disease
8183,32025782,graves ophthalmopathy,hyperthyroidism
8184,31900640,graves ophthalmopathy,hyperthyroidism
8185,34315743,hyperthyroidism,hyperthyroidism
8185,34315743,graves disease,hyperthyroidism
8185,34315743,graves' disease,hyperthyroidism
8185,34315743,thyrotoxicosis,hyperthyroidism
8185,34315743,thyroid dysgenesis,hypothyroidism
8185,34315743,thyroid neoplasms,thyroid neoplasms
8185,34315743,thyroid disease,thyroid disease
8185,34315743,thyroidectomy,thyroid disease
8186,33630733,graves ophthalmopathy,hyperthyroidism
8187,31887836,graves disease,hyperthyroidism
8188,33999901,graves ophthalmopathy,hyperthyroidism
8189,33658150,graves ophthalmopathy,hyperthyroidism
8190,34018373,hyperthyroidism,hyperthyroidism
8190,34018373,graves ophthalmopathy,hyperthyroidism
8190,34018373,hypothyroidism,hypothyroidism
8191,33574732,graves' disease,hyperthyroidism
8191,33574732,graves ophthalmopathy,hyperthyroidism
8192,33382429,hyperthyroidism,hyperthyroidism
8192,33382429,graves disease,hyperthyroidism
8192,33382429,graves' disease,hyperthyroidism
8192,33382429,hypothyroidism,hypothyroidism
8192,33382429,hashimoto disease,thyroiditis
8192,33382429,thyroiditis,thyroiditis
8193,33009740,graves' disease,hyperthyroidism
8193,33009740,graves ophthalmopathy,hyperthyroidism
8193,33009740,thyroid disease,thyroid disease
8193,33009740,thyroid diseases,thyroid disease
8194,32485674,graves disease,hyperthyroidism
8194,32485674,graves' disease,hyperthyroidism
8194,32485674,thyroid gland,thyroid disease
8195,32545570,goiter,goiter
8195,32545570,"goiter, nodular",goiter
8195,32545570,hyperthyroidism,hyperthyroidism
8195,32545570,thyrotoxicosis,hyperthyroidism
8195,32545570,thyroidectomy,thyroid disease
8196,32427735,graves ophthalmopathy,hyperthyroidism
8197,32366997,graves ophthalmopathy,hyperthyroidism
8198,32324288,hyperthyroidism,hyperthyroidism
8198,32324288,graves disease,hyperthyroidism
8198,32324288,graves' disease,hyperthyroidism
8198,32324288,thyrotoxicosis,hyperthyroidism
8199,32317795,graves ophthalmopathy,hyperthyroidism
8200,34334593,goiter,goiter
8201,32392608,graves disease,hyperthyroidism
8202,32500462,hyperthyroidism,hyperthyroidism
8202,32500462,graves disease,hyperthyroidism
8202,32500462,graves' disease,hyperthyroidism
8202,32500462,graves ophthalmopathy,hyperthyroidism
8202,32500462,thyroid nodule,thyroid nodule
8203,33853289,hyperthyroidism,hyperthyroidism
8203,33853289,graves disease,hyperthyroidism
8203,33853289,hypothyroidism,hypothyroidism
8203,33853289,"thyroiditis, autoimmune",thyroiditis
8203,33853289,hashimoto disease,thyroiditis
8203,33853289,thyroiditis,thyroiditis
8203,33853289,thyroid disease,thyroid disease
8203,33853289,thyroid diseases,thyroid disease
8204,32925677,graves ophthalmopathy,hyperthyroidism
8205,32689994,graves ophthalmopathy,hyperthyroidism
8206,32363975,graves ophthalmopathy,hyperthyroidism
8207,33351335,graves disease,hyperthyroidism
8207,33351335,graves' disease,hyperthyroidism
8208,32612577,graves disease,hyperthyroidism
8208,32612577,graves' disease,hyperthyroidism
8208,32612577,thyroid disease,thyroid disease
8209,34598656,graves disease,hyperthyroidism
8209,34598656,graves' disease,hyperthyroidism
