,PMID,Condition,Category
944,11799960,hyperthyroidism,hyperthyroidism
944,11799960,graves disease,hyperthyroidism
944,11799960,"thyroiditis, autoimmune",thyroiditis
944,11799960,thyroiditis,thyroiditis
945,15244201,graves disease,hyperthyroidism
945,15244201,graves' disease,hyperthyroidism
945,15244201,"thyroiditis, autoimmune",thyroiditis
945,15244201,thyroiditis,thyroiditis
945,15244201,thyroid disease,thyroid disease
945,15244201,thyroid diseases,thyroid disease
946,14709850,graves disease,hyperthyroidism
946,14709850,graves' disease,hyperthyroidism
947,14556475,hyperthyroidism,hyperthyroidism
947,14556475,graves disease,hyperthyroidism
947,14556475,graves' disease,hyperthyroidism
948,12943524,graves disease,hyperthyroidism
948,12943524,thyroid gland,thyroid disease
949,12645809,graves disease,hyperthyroidism
950,11838736,goiter,goiter
950,11838736,thyroid hormone resistance syndrome,hyperthyroxinemia
951,15369235,graves disease,hyperthyroidism
951,15369235,graves ophthalmopathy,hyperthyroidism
952,14971565,graves disease,hyperthyroidism
953,12973666,graves disease,hyperthyroidism
953,12973666,"thyroiditis, autoimmune",thyroiditis
953,12973666,hashimoto disease,thyroiditis
953,12973666,thyroiditis,thyroiditis
954,12593716,graves disease,hyperthyroidism
954,12593716,thyroid gland,thyroid disease
955,12025708,graves disease,hyperthyroidism
955,12025708,graves' disease,hyperthyroidism
956,11865177,graves disease,hyperthyroidism
956,11865177,thyrotoxicosis,hyperthyroidism
956,11865177,thyroid gland,thyroid disease
957,14759070,goiter,goiter
957,14759070,hyperthyroidism,hyperthyroidism
957,14759070,graves disease,hyperthyroidism
957,14759070,graves' disease,hyperthyroidism
958,12783978,graves disease,hyperthyroidism
958,12783978,graves' disease,hyperthyroidism
958,12783978,thyroiditis,thyroiditis
958,12783978,thyroid gland,thyroid disease
959,14671183,graves disease,hyperthyroidism
959,14671183,graves' disease,hyperthyroidism
960,13129884,graves disease,hyperthyroidism
961,12439051,graves disease,hyperthyroidism
961,12439051,graves ophthalmopathy,hyperthyroidism
962,12410984,graves disease,hyperthyroidism
963,12410983,graves disease,hyperthyroidism
964,12100710,graves disease,hyperthyroidism
964,12100710,graves' disease,hyperthyroidism
965,14597551,graves disease,hyperthyroidism
966,12052596,goiter,goiter
966,12052596,graves disease,hyperthyroidism
966,12052596,thyrotoxicosis,hyperthyroidism
967,15067747,hyperthyroidism,hyperthyroidism
967,15067747,graves disease,hyperthyroidism
967,15067747,graves' disease,hyperthyroidism
968,14654583,hyperthyroidism,hyperthyroidism
968,14654583,graves disease,hyperthyroidism
968,14654583,graves' disease,hyperthyroidism
968,14654583,thyroid crisis,hyperthyroidism
968,14654583,thyroid gland,thyroid disease
968,14654583,thyroidectomy,thyroid disease
969,12408698,hyperthyroidism,hyperthyroidism
969,12408698,graves disease,hyperthyroidism
969,12408698,graves' disease,hyperthyroidism
969,12408698,hypothyroidism,hypothyroidism
969,12408698,thyroid gland,thyroid disease
970,12028087,graves disease,hyperthyroidism
970,12028087,graves' disease,hyperthyroidism
970,12028087,hypothyroidism,hypothyroidism
970,12028087,thyroidectomy,thyroid disease
971,12864798,graves disease,hyperthyroidism
971,12864798,graves' disease,hyperthyroidism
971,12864798,"thyroiditis, autoimmune",thyroiditis
971,12864798,thyroiditis,thyroiditis
971,12864798,thyroid gland,thyroid disease
972,12152355,graves disease,hyperthyroidism
972,12152355,graves' disease,hyperthyroidism
972,12152355,thyrotoxicosis,hyperthyroidism
972,12152355,"thyroiditis, autoimmune",thyroiditis
972,12152355,thyroiditis,thyroiditis
972,12152355,thyroid gland,thyroid disease
973,12082695,hyperthyroidism,hyperthyroidism
973,12082695,graves disease,hyperthyroidism
973,12082695,thyrotoxicosis,hyperthyroidism
974,11955323,graves disease,hyperthyroidism
975,12501540,graves disease,hyperthyroidism
975,12501540,graves' disease,hyperthyroidism
976,12351508,graves disease,hyperthyroidism
976,12351508,graves' disease,hyperthyroidism
977,12213666,graves disease,hyperthyroidism
977,12213666,graves' disease,hyperthyroidism
977,12213666,thyrotoxicosis,hyperthyroidism
978,12107104,graves disease,hyperthyroidism
978,12107104,graves' disease,hyperthyroidism
978,12107104,thyroid gland,thyroid disease
979,11836263,graves disease,hyperthyroidism
979,11836263,graves' disease,hyperthyroidism
980,12559631,graves disease,hyperthyroidism
980,12559631,graves' disease,hyperthyroidism
980,12559631,"thyroiditis, autoimmune",thyroiditis
980,12559631,thyroiditis,thyroiditis
981,12122113,graves disease,hyperthyroidism
982,12073143,graves disease,hyperthyroidism
982,12073143,graves' disease,hyperthyroidism
982,12073143,"thyroiditis, autoimmune",thyroiditis
982,12073143,thyroiditis,thyroiditis
982,12073143,thyroid disease,thyroid disease
982,12073143,thyroid diseases,thyroid disease
983,15251841,hyperthyroidism,hyperthyroidism
983,15251841,graves disease,hyperthyroidism
983,15251841,graves' disease,hyperthyroidism
984,14605602,graves disease,hyperthyroidism
984,14605602,graves' disease,hyperthyroidism
984,14605602,thyrotoxicosis,hyperthyroidism
984,14605602,thyroid neoplasms,thyroid neoplasms
984,14605602,thyroid nodule,thyroid nodule
985,12915620,graves disease,hyperthyroidism
985,12915620,graves' disease,hyperthyroidism
986,12424939,hyperthyroidism,hyperthyroidism
986,12424939,graves disease,hyperthyroidism
986,12424939,graves' disease,hyperthyroidism
986,12424939,thyrotoxicosis,hyperthyroidism
986,12424939,hypothyroidism,hypothyroidism
986,12424939,thyroiditis,thyroiditis
987,14594171,hyperthyroidism,hyperthyroidism
987,14594171,graves disease,hyperthyroidism
987,14594171,hypothyroidism,hypothyroidism
987,14594171,"thyroiditis, autoimmune",thyroiditis
987,14594171,thyroiditis,thyroiditis
988,12521216,graves disease,hyperthyroidism
988,12521216,graves' disease,hyperthyroidism
989,12034055,goiter,goiter
989,12034055,graves disease,hyperthyroidism
989,12034055,graves' disease,hyperthyroidism
989,12034055,thyroid neoplasms,thyroid neoplasms
989,12034055,thyroid nodule,thyroid nodule
990,14750350,graves disease,hyperthyroidism
991,14529068,graves disease,hyperthyroidism
991,14529068,graves' disease,hyperthyroidism
992,12790806,graves disease,hyperthyroidism
993,12170880,hyperthyroidism,hyperthyroidism
993,12170880,graves disease,hyperthyroidism
993,12170880,hypothyroidism,hypothyroidism
993,12170880,thyroid neoplasms,thyroid neoplasms
993,12170880,thyroid disease,thyroid disease
993,12170880,thyroid diseases,thyroid disease
994,14597547,graves disease,hyperthyroidism
995,12784096,hyperthyroidism,hyperthyroidism
995,12784096,graves disease,hyperthyroidism
995,12784096,graves' disease,hyperthyroidism
995,12784096,thyrotoxicosis,hyperthyroidism
996,12706767,graves disease,hyperthyroidism
997,11930033,graves disease,hyperthyroidism
997,11930033,thyrotoxicosis,hyperthyroidism
998,14631288,graves disease,hyperthyroidism
999,12813191,graves disease,hyperthyroidism
999,12813191,graves' disease,hyperthyroidism
999,12813191,thyroid gland,thyroid disease
1000,12768441,graves disease,hyperthyroidism
1000,12768441,graves' disease,hyperthyroidism
1000,12768441,"thyroiditis, autoimmune",thyroiditis
1000,12768441,thyroiditis,thyroiditis
1000,12768441,thyroid disease,thyroid disease
1001,12532909,graves disease,hyperthyroidism
1002,12091858,graves disease,hyperthyroidism
1002,12091858,hypothyroidism,hypothyroidism
1003,12050214,hyperthyroidism,hyperthyroidism
1003,12050214,graves disease,hyperthyroidism
1003,12050214,graves' disease,hyperthyroidism
1003,12050214,"thyroiditis, autoimmune",thyroiditis
1003,12050214,thyroiditis,thyroiditis
1004,12729483,graves disease,hyperthyroidism
1004,12729483,graves' disease,hyperthyroidism
1004,12729483,thyrotoxicosis,hyperthyroidism
1004,12729483,thyroiditis,thyroiditis
1005,12681226,graves disease,hyperthyroidism
1006,12679476,graves disease,hyperthyroidism
1006,12679476,graves' disease,hyperthyroidism
1007,12201214,graves disease,hyperthyroidism
1007,12201214,graves' disease,hyperthyroidism
1008,11841494,graves disease,hyperthyroidism
1008,11841494,graves' disease,hyperthyroidism
1009,11779775,graves disease,hyperthyroidism
1009,11779775,graves' disease,hyperthyroidism
1010,12053086,goiter,goiter
1010,12053086,"goiter, nodular",goiter
1010,12053086,thyroid neoplasms,thyroid neoplasms
1010,12053086,thyroidectomy,thyroid disease
1011,11782086,goiter,goiter
1011,11782086,"goiter, nodular",goiter
1011,11782086,thyroid nodule,thyroid nodule
1011,11782086,"thyroiditis, autoimmune",thyroiditis
1011,11782086,thyroiditis,thyroiditis
1011,11782086,thyroid gland,thyroid disease
1012,12616616,goiter,goiter
1012,12616616,"goiter, nodular",goiter
1012,12616616,thyroid neoplasms,thyroid neoplasms
1013,14654252,graves disease,hyperthyroidism
1013,14654252,graves' disease,hyperthyroidism
1014,14611712,graves disease,hyperthyroidism
1014,14611712,"thyroiditis, autoimmune",thyroiditis
1014,14611712,thyroiditis,thyroiditis
1015,14611700,graves disease,hyperthyroidism
1015,14611700,graves' disease,hyperthyroidism
1015,14611700,thyroiditis,thyroiditis
1016,12153597,graves disease,hyperthyroidism
1016,12153597,graves' disease,hyperthyroidism
1017,14669413,graves disease,hyperthyroidism
1017,14669413,hypothyroidism,hypothyroidism
1017,14669413,thyroid gland,thyroid disease
1018,14618956,graves disease,hyperthyroidism
1018,14618956,graves' disease,hyperthyroidism
1018,14618956,"thyroiditis, autoimmune",thyroiditis
1018,14618956,thyroiditis,thyroiditis
1019,12201219,graves disease,hyperthyroidism
1019,12201219,graves' disease,hyperthyroidism
1020,12192550,hyperthyroidism,hyperthyroidism
1020,12192550,graves disease,hyperthyroidism
1021,12521217,graves disease,hyperthyroidism
1021,12521217,graves' disease,hyperthyroidism
1022,11788631,goiter,goiter
1022,11788631,"goiter, nodular",goiter
1022,11788631,hypothyroidism,hypothyroidism
1022,11788631,thyroid neoplasms,thyroid neoplasms
1022,11788631,hashimoto disease,thyroiditis
1022,11788631,thyroiditis,thyroiditis
1022,11788631,thyroidectomy,thyroid disease
1023,14616877,graves disease,hyperthyroidism
1023,14616877,graves' disease,hyperthyroidism
1024,12964972,graves disease,hyperthyroidism
1024,12964972,thyrotoxicosis,hyperthyroidism
1025,12958757,graves disease,hyperthyroidism
1026,12030917,graves disease,hyperthyroidism
1026,12030917,graves' disease,hyperthyroidism
1027,14669952,graves disease,hyperthyroidism
1027,14669952,graves' disease,hyperthyroidism
1027,14669952,"thyroiditis, autoimmune",thyroiditis
1027,14669952,thyroiditis,thyroiditis
1028,12918902,hyperthyroidism,hyperthyroidism
1028,12918902,graves disease,hyperthyroidism
1028,12918902,graves' disease,hyperthyroidism
1028,12918902,thyrotoxicosis,hyperthyroidism
1028,12918902,thyroid nodule,thyroid nodule
1028,12918902,"thyroiditis, autoimmune",thyroiditis
1028,12918902,postpartum thyroiditis,thyroiditis
1028,12918902,thyroiditis,thyroiditis
1029,14674100,graves disease,hyperthyroidism
1029,14674100,thyroid neoplasms,thyroid neoplasms
1030,12780750,graves disease,hyperthyroidism
1030,12780750,graves' disease,hyperthyroidism
1031,14669942,graves disease,hyperthyroidism
1031,14669942,"thyroiditis, autoimmune",thyroiditis
1031,14669942,thyroiditis,thyroiditis
