index,nct_id,category_age
1104,NCT03713671,[65 and more]
1106,NCT03757637,[0-17]
1106,NCT03757637,[18-65]
1106,NCT03757637,[65 and more]
1107,NCT03765333,[18-65]
1107,NCT03765333,[65 and more]
1108,NCT03779906,[0-17]
1109,NCT03822507,[18-65]
1109,NCT03822507,[65 and more]
1110,NCT03823859,[18-65]
1110,NCT03823859,[65 and more]
1114,NCT03831620,[18-65]
1114,NCT03831620,[65 and more]
1115,NCT03841617,[18-65]
1115,NCT03841617,[65 and more]
1117,NCT03892993,[18-65]
1117,NCT03892993,[65 and more]
1118,NCT03899792,[0-17]
1118,NCT03899792,[18-65]
1120,NCT03905369,[18-65]
1120,NCT03905369,[65 and more]
1121,NCT03926585,[18-65]
1121,NCT03926585,[65 and more]
1122,NCT03931109,[18-65]
1122,NCT03931109,[65 and more]
1123,NCT03937349,[18-65]
1123,NCT03937349,[65 and more]
1126,NCT03942380,[18-65]
1126,NCT03942380,[65 and more]
1127,NCT03969329,[0-17]
1128,NCT03973450,[0-17]
1128,NCT03973450,[18-65]
1128,NCT03973450,[65 and more]
1130,NCT03975231,[18-65]
1130,NCT03975231,[65 and more]
1131,NCT03977207,[18-65]
1131,NCT03977207,[65 and more]
1132,NCT04000880,[18-65]
1132,NCT04000880,[65 and more]
1134,NCT04009291,[18-65]
1134,NCT04009291,[65 and more]
1138,NCT04031339,[0-17]
1138,NCT04031339,[18-65]
1138,NCT04031339,[65 and more]
1139,NCT04040673,[18-65]
1139,NCT04040673,[65 and more]
1142,NCT04051099,[18-65]
1142,NCT04051099,[65 and more]
1143,NCT04061980,[18-65]
1143,NCT04061980,[65 and more]
1144,NCT04076514,[0-17]
1144,NCT04076514,[18-65]
1144,NCT04076514,[65 and more]
1146,NCT04104529,[18-65]
1146,NCT04104529,[65 and more]
1148,NCT04126954,[0-17]
1148,NCT04126954,[18-65]
1148,NCT04126954,[65 and more]
1149,NCT04129411,[18-65]
1149,NCT04129411,[65 and more]
1151,NCT04136912,[18-65]
1151,NCT04136912,[65 and more]
1152,NCT04137185,[18-65]
1152,NCT04137185,[65 and more]
1153,NCT04161391,[18-65]
1153,NCT04161391,[65 and more]
1157,NCT04197960,[18-65]
